"año"	"cargo"	"fase"	"lamina"	"referencia"	"uso"	"espesor"	"estaño"	"costo"
"30"	2015	"Tapas Bebidas"	"PT"	"TAPA"	"TC-P"	"PVC-FR"	"18"	"T"	764.0843875
"31"	2015	"Litográfica"	"PP"	"L"	"C603X207L"	"ATUN"	"NPI"	"PP"	83.73553
"32"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X843X946.1"	"DR9"	"NPI"	"PP"	10.385605726676
"33"	2015	"Litográfica"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	282.459070327296
"34"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T315"	"ATUN"	"22"	"T"	0.090153327296
"35"	2015	"Litográfica"	"PP"	"L"	"E307X110L"	"ATUN"	"NPI"	"PP"	92.330956
"36"	2015	"Litográfica"	"PT"	"TAPA"	"T401"	"PALMITO"	"22"	"T"	29.478411558357
"37"	2015	"Litográfica"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"16"	"B"	123.958107746429
"38"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	451.358768466098
"39"	2015	"Litográfica"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	32.283966999614
"40"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T315"	"PALMITO"	"22"	"T"	89.797687873785
"41"	2015	"Litográfica"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"16"	"B"	86.387143
"42"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T401"	"ATUN"	"22"	"T"	42.4896150393887
"43"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T603"	"ATUN"	"26"	"T"	172.640594449099
"44"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C603X207L"	"ATUN"	"22"	"A"	226.1240975
"45"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T603"	"ATUN"	"26"	"T"	553.7781606622
"46"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C202/200X308R"	"SARDINA"	"17"	"B"	174.5544898125
"47"	2015	"Litográfica"	"PP"	"TAPA"	"T603"	"ATUN"	"NPI"	"PP"	645.496577560136
"48"	2015	"Compras e Importaciones"	"PT"	"TAPA"	"T214"	"GANDUL"	"18"	"T"	0.116258999614
"49"	2015	"Litográfica"	"PP"	"R"	"C300X407R"	"PALMITO"	"16"	"PP"	95.685868
"50"	2015	"Compras e Importaciones"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	349.399491
"51"	2015	"Comercialización"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	7.0977730214
"52"	2015	"Litográfica"	"PT"	"TAPA"	"T603"	"ATUN"	"26"	"T"	3.4878295
"53"	2015	"Litográfica"	"PT"	"TAPA"	"T307"	"ATUN"	"20"	"T"	39.4262661868841
"54"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C211X106L"	"ATUN"	"17"	"A"	499.2820695
"55"	2015	"Corte"	"PP"	"OTROS"	"0.26X782X864.1"	"T5"	"NPI"	"PP"	148.153243
"56"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T300"	"SARDINA"	"18"	"T"	64.2094622726351
"57"	2015	"Comercialización"	"PT"	"R"	"C202X308R"	"SARDINA"	"15"	"A"	19.5177290214
"58"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C211/209X400R"	"VEGETALES"	"18"	"B"	1082.29345
"59"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.20X833X795"	"T3"	"20"	"C"	139.549745
"60"	2015	"Litográfica"	"PP"	"TAPA"	"T307EO"	"ATUN"	"NPI"	"PP"	91.189246
"61"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	100.563501327296
"62"	2015	"Comercialización"	"PT"	"L"	"E307X105.5L"	"ATUN"	"16"	"T"	17.1577280214
"63"	2015	"Litográfica"	"PT"	"L"	"E211X106L"	"ATUN"	"16"	"T"	469.020112493156
"64"	2015	"Litográfica"	"PP"	"R"	"C603X209L-408R"	"ATUN"	"22"	"PP"	21.15797
"65"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307"	"ATUN"	"20"	"T"	35.652585327296
"66"	2015	"Corte"	"PP"	"TAPA"	"T307EO"	"ATUN"	"NPI"	"PP"	111.75512
"67"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307"	"ATUN"	"20"	"T"	124.675192327296
"68"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	233.370275560136
"69"	2015	"Litográfica"	"PT"	"TAPA"	"TC-P"	"PVC-FR"	"22"	"T"	2846.63663905459
"70"	2015	"Comercialización"	"PT"	"TAPA"	"T307"	"ATUN"	"20"	"T"	123.968694
"71"	2015	"Comercialización"	"PT"	"R"	"C202X308R"	"SARDINA"	"15"	"A"	131.884438327296
"72"	2015	"Litográfica"	"PP"	"L"	"E307X110.5L"	"ATUN"	"16"	"PP"	33.946261
"73"	2015	"Litográfica"	"PT"	"L"	"E307X105.5L"	"ATUN"	"16"	"T"	23.392845327296
"74"	2015	"Litográfica"	"PP"	"R"	"C300X407R"	"PALMITO"	"16"	"PP"	5.261344
"75"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T300"	"SARDINA"	"18"	"T"	14.329999
"76"	2015	"Litográfica"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	77.14922921875
"77"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C603X207L"	"ATUN"	"24"	"A"	106.502148
"78"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	99.452885560136
"79"	2015	"Litográfica"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	213.8090406114
"80"	2015	"Comercialización"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	93.8777220214
"81"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T315"	"PALMITO"	"22"	"T"	70.48574161
"82"	2015	"Comercialización"	"PT"	"L"	"C401/315X208L"	"ATUN"	"17"	"B"	16.025186327296
"83"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"16"	"B"	72.8208155
"84"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"15"	"B"	26.8855
"85"	2015	"Litográfica"	"PT"	"L"	"E307X110L"	"ATUN"	"16"	"T"	118.112770015998
"86"	2015	"Litográfica"	"PP"	"TAPA"	"TOVAL16"	"SARD"	"NPI"	"PP"	335.19383
"87"	2015	"Corte"	"PP"	"OTROS"	"0.16X843X926.8"	"DR9"	"NPI"	"PP"	494.153834
"88"	2015	"Litográfica"	"PP"	"L"	"E307X110.5L"	"ATUN"	"16"	"PP"	500.2859
"89"	2015	"Litográfica"	"PT"	"TAPA"	"T401"	"PALMITO"	"22"	"T"	89.684902
"90"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T211"	"ATUN"	"20"	"T"	587.743374749673
"91"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C211X106L"	"ATUN"	"17"	"A"	344.700424
"92"	2015	"Litográfica"	"PP"	"TAPA"	"TC-PRY"	"PVC-F"	"18"	"PP"	370.280352
"93"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	197.549750999614
"94"	2015	"Litográfica"	"PP"	"R"	"C610X708R"	"PEGA"	"17"	"PP"	12.968595327296
"95"	2015	"Comercialización"	"PT"	"L"	"E208/211X207.5L"	"SALCHICHA"	"16"	"T"	6.975579
"96"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307"	"ATUN"	"20"	"T"	256.6077280214
"97"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C603X700R"	"CHAMPIÑONES"	"28"	"A"	75.350832
"98"	2015	"Comercialización"	"PT"	"L"	"E307X113L"	"ATUN"	"16"	"T"	14.8777290214
"99"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T603"	"ATUN"	"26"	"T"	140.97727393533
"100"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T401"	"PALMITO"	"22"	"T"	20.63488794051
"101"	2015	"Compras e Importaciones"	"PP"	"TAPA"	"TP28X17"	"PVCF-PET"	"NPI"	"PP"	20.491902
"102"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C211X308L"	"ATUN"	"18"	"B"	1009.0357235
"103"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T300"	"SARDINA"	"18"	"T"	60.2144811797282
"104"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X956X756"	"DR9"	"NPI"	"PP"	85.201264053352
"105"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307EO"	"ATUN"	"22"	"T"	4600.92924407481
"106"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T202"	"SARDINA"	"18"	"T"	294.2689328
"107"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	186.965590556964
"108"	2015	"Litográfica"	"PP"	"R"	"C603X209-408-600R"	"ATUN"	"24"	"PP"	53.664761
"109"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C211X106L"	"ATUN"	"17"	"A"	368.2302345
"110"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C202X308R"	"SARDINA"	"15"	"A"	473.046948
"111"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.17X870X942"	"DR8"	"NPI"	"C"	669.454795
"112"	2015	"Litográfica"	"PP"	"L"	"E307X110L"	"ATUN"	"NPI"	"PP"	80.163892
"113"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	74.2
"114"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X945X927"	"DR8"	"NPI"	"C"	101.405795
"115"	2015	"Litográfica"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	31.862084327296
"116"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C202/200X308R"	"SARDINA"	"15"	"A"	102.72312
"117"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.17X813X1037"	"DR8"	"NPI"	"C"	38.311974099318
"118"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X945X927"	"DR8"	"NPI"	"C"	68.819667
"119"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.18X892X1000.6"	"DR8"	"NPI"	"PP"	129.8546215
"120"	2015	"Comercialización"	"PT"	"L"	"E307X108L"	"ATUN"	"16"	"T"	1.406805999614
"121"	2015	"Litográfica"	"PP"	"L"	"E211X106L"	"ATUN"	"16"	"PP"	53.15564
"122"	2015	"Litográfica"	"PT"	"L"	"C603X209L"	"ATUN"	"24"	"A"	69.808394
"123"	2015	"Litográfica"	"PP"	"L"	"E307X110L"	"ATUN"	"16"	"PP"	47.687524
"124"	2015	"Litográfica"	"PT"	"TAPA"	"T200"	"SARDINA"	"18"	"T"	398.50484103269
"125"	2015	"Comercialización"	"PT"	"R"	"C603X600R"	"ATUN"	"24"	"A"	99.726254999614
"126"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.22X705X1006"	"T4"	"NPI"	"PP"	107.745451
"127"	2015	"Litográfica"	"PT"	"R"	"C202/200X308R"	"SARDINA"	"17"	"B"	172.069903
"128"	2015	"Litográfica"	"PT"	"L"	"E307X110L"	"ATUN"	"16"	"T"	168.5263100214
"129"	2015	"Sanitarios Embutidos"	"PT"	"R"	"EOVAL15R"	"SARDINA"	"18"	"T"	54.8365490214
"130"	2015	"Comercialización"	"PT"	"L"	"E208/211X207.5L"	"SALCHICHA"	"16"	"T"	2.704865
"131"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.21X903X917"	"T5"	"NPI"	"PP"	139.023060099318
"132"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T401"	"ATUN"	"22"	"T"	0.090170327296
"133"	2015	"Litográfica"	"PP"	"L"	"E307X110L"	"ATUN"	"NPI"	"PP"	19.886861
"134"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C603X207L"	"ATUN"	"24"	"C"	356.835407
"135"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T300"	"PALMITO"	"18"	"T"	90.3089625
"136"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.18X801X809"	"T4"	"NPI"	"T"	144.707197
"137"	2015	"Litográfica"	"PP"	"TAPA"	"T211"	"ATUN"	"20"	"PP"	154.115385
"138"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C401/315X411R"	"ATUN"	"17"	"B"	1945.66347456014
"139"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.17X900X1037"	"DR8"	"20"	"C"	66.676114106704
"140"	2015	"Servicios Generales"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"15"	"B"	20.746856
"141"	2015	"Litográfica"	"PP"	"L"	"E307X110L"	"ATUN"	"NPI"	"PP"	76.320368
"142"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C603X207L"	"ATUN"	"22"	"A"	97.766116
"143"	2015	"Litográfica"	"PP"	"TAPA"	"T603"	"ATUN"	"26"	"PP"	8.484808
"144"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T211"	"ATUN"	"20"	"T"	213.50914161098
"145"	2015	"Comercialización"	"PT"	"R"	"C401/315X411R"	"PALMITO"	"17"	"B"	172.673480327296
"146"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T200"	"SARDINA"	"18"	"T"	1225.914019875
"147"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	74.77540678125
"148"	2015	"Litográfica"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	120.1393850214
"149"	2015	"Litográfica"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	538.553086134784
"150"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	100.420745327296
"151"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"16"	"B"	330.156663
"152"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307EO"	"ATUN"	"22"	"T"	251.5558036114
"153"	2015	"Comercialización"	"PT"	"L"	"E211X200L"	"ATUN"	"16"	"T"	2.285139999614
"154"	2015	"Sanitarios Soldadura"	"PT"	"OTROS"	"C404X414MF"	"DILUY"	"17"	"A"	134.479533
"155"	2015	"Litográfica"	"PT"	"L"	"E307X110L"	"ATUN"	"16"	"T"	88.591082
"156"	2015	"Comercialización"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	65.100125999614
"157"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X843X724"	"DR9"	"NPI"	"C"	46.194817099318
"158"	2015	"Compras e Importaciones"	"PT"	"TAPA"	"TOVAL16"	"SARDINA"	"23"	"T"	0.1377800214
"159"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"16"	"B"	395.941997
"160"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T214"	"SARDINA"	"18"	"T"	216.985220963771
"161"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X843X926.8"	"DR9"	"NPI"	"PP"	368.064889
"162"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C211X308L"	"ATUN"	"17"	"A"	253.3092465
"163"	2015	"Litográfica"	"PP"	"R"	"C603X209-408-600R"	"ATUN"	"24"	"PP"	105.122609
"164"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	40.3711016114
"165"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C211X308L"	"ATUN"	"18"	"B"	87.964017
"166"	2015	"Compras e Importaciones"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	0.116259999614
"167"	2015	"Comercialización"	"PT"	"R"	"C603X408R"	"ATUN"	"24"	"A"	2.699128327296
"168"	2015	"Litográfica"	"PT"	"TAPA"	"T214"	"SARDINA"	"18"	"T"	113.449125731886
"169"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	12.4467406114
"170"	2015	"Litográfica"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	18.8563789484174
"171"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X843X946.1"	"DR9"	"NPI"	"PP"	11.0660955
"172"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T401"	"ATUN"	"22"	"T"	2.8877280214
"173"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C300/214X407R"	"VEGETALES"	"16"	"B"	107.027263
"174"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.17X870X942"	"DR8"	"NPI"	"C"	10.645461
"175"	2015	"Corte"	"PP"	"OTROS"	"F211"	"PEGA."	"NPI"	"PP"	492.0803155
"176"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.22X903X953"	"T5"	"NPI"	"PP"	167.4849145
"177"	2015	"Sanitarios Soldadura"	"PT"	"OTROS"	"C404X414MF"	"DILUY"	"17"	"A"	90.898241440204
"178"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"TOVAL16"	"SARDINA"	"23"	"T"	193.76
"179"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"16"	"B"	274.319505
"180"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.17X813X996"	"DR8"	"NPI"	"C"	112.023056099318
"181"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C603X402R"	"ATUN"	"22"	"A"	30.700956
"182"	2015	"Litográfica"	"PP"	"R"	"C300X407R"	"PALMITO"	"16"	"PP"	124.957764
"183"	2015	"Litográfica"	"PP"	"L"	"E307X109L"	"ATUN"	"NPI"	"PP"	44.275545
"184"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	226.346629588875
"185"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.20X833X795"	"T3"	"20"	"C"	85.372352099318
"186"	2015	"Tapas Bebidas"	"PT"	"TAPA"	"TC-P"	"PVC-NM"	"22"	"T"	278.1104165
"187"	2015	"Litográfica"	"PT"	"TAPA"	"T214"	"PALMITO"	"18"	"T"	111.1264425
"188"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T315"	"PALMITO"	"22"	"T"	2.6674915295699
"189"	2015	"Tapas Bebidas"	"PT"	"TAPA"	"TC-P"	"PVC-FR"	"18"	"T"	5.28836240868334
"190"	2015	"Litográfica"	"PT"	"L"	"E208/211X207.5L"	"SALCHICHA"	"16"	"T"	651.127022
"191"	2015	"Litográfica"	"PP"	"L"	"E307X110.5L"	"ATUN"	"16"	"PP"	49.703484
"192"	2015	"Litográfica"	"PP"	"TAPA"	"T300"	"PALMITO"	"18"	"PP"	97.568536
"193"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.18X817X736"	"DR8"	"NPI"	"PP"	10.182005726676
"194"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.22X810X795"	"T3"	"NPI"	"C"	52.297322099318
"195"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307"	"ATUN"	"20"	"T"	393.463671406716
"196"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C401/315X411R"	"PALMITO"	"17"	"B"	1005.058808
"197"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C211X308L"	"ATUN"	"17"	"A"	251.427696
"198"	2015	"Sanitarios Embutidos"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	132.921876
"199"	2015	"Comercialización"	"PT"	"R"	"EOVAL15R"	"SARDINA"	"18"	"T"	35.7951880214
"200"	2015	"Litográfica"	"PT"	"TAPA"	"T315"	"PALMITO"	"22"	"T"	8.8916383548388
"201"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T300"	"SARDINA"	"18"	"T"	453.861397117187
"202"	2015	"Servicios Generales"	"PT"	"TAPA"	"T307EO"	"ATUN"	"21"	"T"	557.724801
"203"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X945X927"	"DR8"	"NPI"	"C"	79.952524099318
"204"	2015	"Comercialización"	"PT"	"TAPA"	"T211EO"	"ATUN"	"22"	"T"	36.793036
"205"	2015	"Litográfica"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	154.490592999614
"206"	2015	"Comercialización"	"PT"	"R"	"C300/214X407R"	"SARDINA"	"16"	"B"	5.934891327296
"207"	2015	"Comercialización"	"PT"	"L"	"E208/211X207.5L"	"SALCHICHA"	"16"	"T"	6.975914
"208"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T315"	"PALMITO"	"22"	"T"	267.264327432112
"209"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C202/200X308R"	"SARDINA"	"17"	"B"	437.2627505
"210"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C300/214X407R"	"GANDUL"	"16"	"B"	442.310691
"211"	2015	"Litográfica"	"PT"	"R"	"C401/315X411R"	"PALMITO"	"17"	"B"	13.0942799318668
"212"	2015	"Compras e Importaciones"	"PT"	"TAPA"	"TOVAL16"	"SARDINA"	"23"	"T"	0.1377870214
"213"	2015	"Comercialización"	"PT"	"TAPA"	"T307"	"ATUN"	"20"	"T"	191.944795
"214"	2015	"Litográfica"	"PP"	"TAPA"	"T307EO"	"ATUN"	"21"	"PP"	642.301574
"215"	2015	"Litográfica"	"PT"	"L"	"E307X109L"	"ATUN"	"16"	"T"	394.8328090214
"216"	2015	"Litográfica"	"PP"	"R"	"C202X308R"	"SARD"	"16"	"PP"	58.516716
"217"	2015	"Litográfica"	"PP"	"TAPA"	"T307EO"	"ATUN"	"22"	"PP"	458.834673
"218"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T202"	"SARDINA"	"18"	"T"	12.856952327296
"219"	2015	"Litográfica"	"PT"	"L"	"E307X113L"	"ATUN"	"16"	"T"	139.743660721184
"220"	2015	"Comercialización"	"PT"	"R"	"C300/214X407R"	"PALMITO"	"16"	"B"	317.672600327296
"221"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.17X813X996"	"DR8"	"NPI"	"C"	50.542354053352
"222"	2015	"Litográfica"	"PT"	"TAPA"	"T603"	"ATUN"	"26"	"T"	880.387040379309
"223"	2015	"Litográfica"	"PP"	"L"	"C211X208L"	"PEGA"	"17"	"PP"	95.2057
"224"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X956X926.8"	"DR9"	"NPI"	"PP"	26.557255
"225"	2015	"Litográfica"	"PT"	"L"	"E307X108L"	"ATUN"	"16"	"T"	2654.22090949906
"226"	2015	"Comercialización"	"PT"	"OTROS"	"CJ"	"PPLIT"	"20"	"B"	8.113585
"227"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C202X308R"	"SARDINA"	"15"	"A"	115.0974555
"228"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307EO"	"ATUN"	"22"	"T"	402.4260136114
"229"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.16X956X926.8"	"DR9"	"NPI"	"PP"	19.990105
"230"	2015	"Sanitarios Soldadura"	"PT"	"R"	"C307/305X409R"	"VEGETALES"	"17"	"B"	66.826954
"231"	2015	"Compras e Importaciones"	"PP"	"OTROS"	"0.17X813X996"	"DR8"	"NPI"	"C"	61.584364099318
"232"	2015	"Compras e Importaciones"	"PT"	"L"	"E307X110.5L"	"ATUN"	"16"	"T"	631.977107
"233"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T401"	"ATUN"	"22"	"T"	105.7657936114
"234"	2015	"Sanitarios Soldadura"	"PT"	"L"	"C603X207L"	"ATUN"	"24"	"B"	29.294375
"235"	2015	"Sanitarios Embutidos"	"PT"	"TAPA"	"T307EO"	"ATUN"	"22"	"T"	71.782920327296
"236"	2015	"Litográfica"	"PT"	"L"	"E307X108L"	"ATUN"	"16"	"T"	111.311496999614
"237"	2015	"Compras e Importaciones"	"PT"	"TAPA"	"T401"	"ATUN"	"22"	"T"	0.1377290214
"238"	2015	"Litográfica"	"PT"	"L"	"E307X112L"	"ATUN"	"16"	"T"	827.7935112604
